,confirmed,department,nation,operator,operators_departments,year
488,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
489,confirmed,Business,italy,Stephen Silva,german,2018
490,unconfirmed,Client,germany,Karen Harrington,german,2018
491,confirmed,Client,germany,Tristan Diaz,spanish,2018
492,confirmed,Business,germany,Wesley Blanchard,german,2018
493,confirmed,Client,spain,Wesley Blanchard,german,2018
494,confirmed,Business,spain,Tammie Friedman,french,2018
495,unconfirmed,Business,france,Denise Andrews,german,2018
496,unconfirmed,Client,france,Denise Andrews,german,2018
497,unconfirmed,Client,spain,Tammie Friedman,french,2018
498,unconfirmed,Business,france,Karen Harrington,german,2018
499,unconfirmed,Client,spain,Tammie Friedman,french,2018
500,unconfirmed,Client,france,Karen Harrington,german,2018
501,confirmed,Business,spain,Jerry Rivera,spanish,2018
502,unconfirmed,Business,germany,Kenneth Lee,italan,2018
503,unconfirmed,Client,france,Zachary Henry,german,2018
504,unconfirmed,Client,france,Kenneth Lee,italan,2018
505,unconfirmed,Client,germany,Kenneth Lee,italan,2018
506,unconfirmed,Client,spain,James Rivera,spanish,2018
507,unconfirmed,Client,germany,Wesley Blanchard,german,2018
508,confirmed,Business,italy,Dennis David,french,2018
509,unconfirmed,Client,germany,Dennis David,french,2018
510,unconfirmed,Client,france,Jerry Rivera,spanish,2018
511,unconfirmed,Business,germany,Stephen Silva,german,2018
512,unconfirmed,Client,germany,Denise Andrews,german,2018
513,unconfirmed,Business,italy,Tristan Diaz,spanish,2018
514,unconfirmed,Client,france,Karen Harrington,german,2018
515,confirmed,Client,italy,Karen Harrington,german,2018
516,unconfirmed,Client,spain,Kristen Berry,spanish,2018
517,unconfirmed,Business,italy,Zachary Henry,german,2018
518,confirmed,Business,germany,Kristen Berry,spanish,2018
519,unconfirmed,Client,france,Wesley Blanchard,german,2018
520,confirmed,Business,germany,Zachary Henry,german,2018
521,unconfirmed,Client,spain,Stephen Silva,german,2018
522,confirmed,Client,germany,Mr. Timothy Hall,italan,2018
523,unconfirmed,Business,spain,Denise Andrews,german,2018
524,confirmed,Client,france,Karen Harrington,german,2018
525,confirmed,Business,spain,Dennis David,french,2018
526,unconfirmed,Business,france,Tristan Diaz,spanish,2018
527,confirmed,Client,germany,Dennis David,french,2018
528,unconfirmed,Client,spain,Dennis David,french,2018
529,unconfirmed,Client,italy,James Rivera,spanish,2018
530,confirmed,Business,germany,James Rivera,spanish,2018
531,unconfirmed,Business,germany,Wesley Blanchard,german,2018
532,unconfirmed,Client,france,Zachary Henry,german,2018
533,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
534,unconfirmed,Client,spain,Zachary Henry,german,2018
535,unconfirmed,Client,germany,Stephen Silva,german,2018
536,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
537,confirmed,Client,spain,Denise Andrews,german,2018
538,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
539,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
540,confirmed,Client,germany,Stephen Silva,german,2018
541,unconfirmed,Business,spain,Kenneth Lee,italan,2018
542,unconfirmed,Client,italy,Stephen Silva,german,2018
543,unconfirmed,Client,france,Denise Andrews,german,2018
544,confirmed,Client,italy,Mr. Timothy Hall,italan,2018
545,unconfirmed,Client,germany,Tristan Diaz,spanish,2018
546,confirmed,Business,france,James Rivera,spanish,2018
547,unconfirmed,Client,spain,Stephen Silva,german,2018
548,confirmed,Client,germany,James Rivera,spanish,2018
549,confirmed,Business,spain,Zachary Henry,german,2018
550,confirmed,Business,spain,Stephen Silva,german,2018
551,confirmed,Client,france,Tiffany Jones,spanish,2018
552,unconfirmed,Client,spain,Kenneth Lee,italan,2018
553,confirmed,Client,italy,Dennis David,french,2018
554,confirmed,Client,germany,Zachary Henry,german,2018
555,confirmed,Business,france,Tammie Friedman,french,2018
556,unconfirmed,Client,spain,Wesley Blanchard,german,2018
557,unconfirmed,Client,germany,Kristen Berry,spanish,2018
558,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
559,confirmed,Client,spain,James Rivera,spanish,2018
560,unconfirmed,Client,germany,Denise Andrews,german,2018
561,unconfirmed,Business,italy,Kenneth Lee,italan,2018
562,confirmed,Client,italy,Wesley Blanchard,german,2018
563,unconfirmed,Business,france,Zachary Henry,german,2018
564,unconfirmed,Client,france,Tristan Diaz,spanish,2018
565,unconfirmed,Client,germany,James Rivera,spanish,2018
566,unconfirmed,Business,france,Dennis David,french,2018
567,unconfirmed,Client,spain,Tammie Friedman,french,2018
568,unconfirmed,Client,france,Wesley Blanchard,german,2018
569,confirmed,Client,spain,Tammie Friedman,french,2018
570,unconfirmed,Client,france,Denise Andrews,german,2018
571,unconfirmed,Client,germany,Stephen Silva,german,2018
572,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
573,confirmed,Client,italy,Zachary Henry,german,2018
574,unconfirmed,Business,italy,Stephen Silva,german,2018
575,unconfirmed,Client,spain,Stephen Silva,german,2018
576,unconfirmed,Client,spain,Wesley Blanchard,german,2018
577,unconfirmed,Client,france,Jerry Rivera,spanish,2018
578,confirmed,Business,italy,Jerry Rivera,spanish,2018
579,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
580,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
581,confirmed,Client,spain,Mr. Timothy Hall,italan,2018
582,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
583,unconfirmed,Client,france,Dennis David,french,2018
584,unconfirmed,Client,france,Tammie Friedman,french,2018
585,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
586,unconfirmed,Client,spain,James Rivera,spanish,2018
587,unconfirmed,Client,spain,Kenneth Lee,italan,2018
588,unconfirmed,Business,germany,Wesley Blanchard,german,2018
589,unconfirmed,Client,france,Stephen Silva,german,2018
590,unconfirmed,Client,spain,Tammie Friedman,french,2018
591,unconfirmed,Client,germany,Karen Harrington,german,2018
592,confirmed,Client,germany,Jerry Rivera,spanish,2018
593,confirmed,Client,spain,Wesley Blanchard,german,2018
594,unconfirmed,Client,france,Zachary Henry,german,2018
595,confirmed,Client,spain,Denise Andrews,german,2018
596,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
597,unconfirmed,Client,france,Kenneth Lee,italan,2018
598,confirmed,Client,italy,Tristan Diaz,spanish,2018
599,confirmed,Client,italy,Tammie Friedman,french,2018
600,confirmed,Client,italy,Denise Andrews,german,2018
601,unconfirmed,Client,france,Dennis David,french,2018
602,confirmed,Business,spain,Tristan Diaz,spanish,2018
603,confirmed,Business,spain,Mr. Timothy Hall,italan,2018
604,unconfirmed,Business,spain,Stephen Silva,german,2018
605,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
606,confirmed,Client,france,Karen Harrington,german,2018
607,unconfirmed,Business,germany,James Rivera,spanish,2018
608,unconfirmed,Client,france,Stephen Silva,german,2018
609,unconfirmed,Client,france,Denise Andrews,german,2018
610,unconfirmed,Business,france,Dennis David,french,2018
611,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
612,unconfirmed,Client,germany,James Rivera,spanish,2018
613,confirmed,Business,italy,Karen Harrington,german,2018
614,unconfirmed,Client,germany,Zachary Henry,german,2018
615,unconfirmed,Client,germany,Kristen Berry,spanish,2018
616,confirmed,Client,germany,Tammie Friedman,french,2018
617,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
618,unconfirmed,Business,germany,Dennis David,french,2018
619,confirmed,Client,germany,Stephen Silva,german,2018
620,unconfirmed,Client,spain,James Rivera,spanish,2018
621,unconfirmed,Client,france,Wesley Blanchard,german,2018
622,unconfirmed,Client,germany,Zachary Henry,german,2018
623,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
624,unconfirmed,Client,germany,Stephen Silva,german,2018
625,confirmed,Client,spain,James Rivera,spanish,2018
626,unconfirmed,Client,italy,Karen Harrington,german,2018
627,unconfirmed,Client,france,Jerry Rivera,spanish,2018
628,unconfirmed,Business,germany,Tristan Diaz,spanish,2018
629,unconfirmed,Client,italy,Denise Andrews,german,2018
630,unconfirmed,Client,france,Wesley Blanchard,german,2018
631,confirmed,Client,germany,James Rivera,spanish,2018
632,unconfirmed,Client,spain,Stephen Silva,german,2018
633,confirmed,Business,spain,Stephen Silva,german,2018
634,unconfirmed,Client,france,Zachary Henry,german,2018
635,unconfirmed,Client,france,Denise Andrews,german,2018
636,unconfirmed,Business,france,Jerry Rivera,spanish,2018
637,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
638,unconfirmed,Client,spain,Kenneth Lee,italan,2018
639,unconfirmed,Client,france,Kenneth Lee,italan,2018
640,unconfirmed,Client,germany,Tammie Friedman,french,2018
641,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
642,unconfirmed,Client,germany,Stephen Silva,german,2018
643,unconfirmed,Client,germany,Wesley Blanchard,german,2018
644,unconfirmed,Business,spain,Tammie Friedman,french,2018
645,unconfirmed,Business,italy,Denise Andrews,german,2018
646,unconfirmed,Client,spain,James Rivera,spanish,2018
647,unconfirmed,Business,france,Dennis David,french,2018
648,confirmed,Client,spain,Tristan Diaz,spanish,2018
649,unconfirmed,Client,spain,Wesley Blanchard,german,2018
650,confirmed,Business,germany,Kenneth Lee,italan,2018
651,confirmed,Client,germany,Tiffany Jones,spanish,2018
652,unconfirmed,Client,france,Denise Andrews,german,2018
653,confirmed,Business,france,Tristan Diaz,spanish,2018
654,unconfirmed,Client,germany,Dennis David,french,2018
655,unconfirmed,Business,spain,Dennis David,french,2018
656,confirmed,Client,germany,Tristan Diaz,spanish,2018
657,confirmed,Client,germany,Tristan Diaz,spanish,2018
658,confirmed,Business,spain,Dennis David,french,2018
659,confirmed,Client,germany,Jerry Rivera,spanish,2018
660,confirmed,Client,germany,Mr. Timothy Hall,italan,2018
661,unconfirmed,Business,germany,Dennis David,french,2018
662,unconfirmed,Client,germany,Tammie Friedman,french,2018
663,confirmed,Client,france,Kristen Berry,spanish,2018
664,confirmed,Client,spain,Denise Andrews,german,2018
665,confirmed,Client,spain,Tiffany Jones,spanish,2018
666,unconfirmed,Client,spain,Zachary Henry,german,2018
667,unconfirmed,Business,germany,Dennis David,french,2018
668,confirmed,Client,germany,Tammie Friedman,french,2018
669,confirmed,Client,italy,Kristen Berry,spanish,2018
670,unconfirmed,Client,germany,Dennis David,french,2018
671,unconfirmed,Client,spain,Kristen Berry,spanish,2018
672,confirmed,Client,france,Denise Andrews,german,2018
673,unconfirmed,Client,germany,Zachary Henry,german,2018
674,unconfirmed,Client,italy,Wesley Blanchard,german,2018
675,unconfirmed,Client,france,Tammie Friedman,french,2018
676,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
677,unconfirmed,Client,france,Tiffany Jones,spanish,2018
678,confirmed,Business,spain,Zachary Henry,german,2018
679,unconfirmed,Business,spain,Jerry Rivera,spanish,2018
680,unconfirmed,Business,italy,Tammie Friedman,french,2018
681,confirmed,Client,france,Wesley Blanchard,german,2018
682,unconfirmed,Business,italy,James Rivera,spanish,2018
683,confirmed,Client,italy,Wesley Blanchard,german,2018
684,unconfirmed,Business,germany,Jerry Rivera,spanish,2018
685,confirmed,Client,spain,Tristan Diaz,spanish,2018
686,unconfirmed,Client,spain,Karen Harrington,german,2018
687,unconfirmed,Client,germany,Zachary Henry,german,2018
688,confirmed,Client,italy,Tiffany Jones,spanish,2018
689,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
690,unconfirmed,Client,france,Jerry Rivera,spanish,2018
691,unconfirmed,Client,france,Denise Andrews,german,2018
692,unconfirmed,Business,germany,Stephen Silva,german,2018
693,unconfirmed,Client,germany,Tammie Friedman,french,2018
694,confirmed,Client,italy,Stephen Silva,german,2018
695,confirmed,Client,germany,Jerry Rivera,spanish,2018
696,unconfirmed,Client,spain,Denise Andrews,german,2018
697,confirmed,Client,germany,Wesley Blanchard,german,2018
698,unconfirmed,Business,spain,Karen Harrington,german,2018
699,unconfirmed,Client,spain,Dennis David,french,2018
700,unconfirmed,Business,spain,Kristen Berry,spanish,2018
701,unconfirmed,Client,italy,Dennis David,french,2018
702,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
703,unconfirmed,Business,spain,James Rivera,spanish,2018
704,unconfirmed,Business,germany,Wesley Blanchard,german,2018
705,unconfirmed,Client,germany,Tammie Friedman,french,2018
706,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
707,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
708,confirmed,Client,germany,Jerry Rivera,spanish,2018
709,confirmed,Business,spain,Tiffany Jones,spanish,2018
710,confirmed,Business,spain,Mr. Timothy Hall,italan,2018
711,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
712,unconfirmed,Client,germany,Stephen Silva,german,2018
713,confirmed,Business,germany,Mr. Timothy Hall,italan,2018
714,unconfirmed,Client,germany,Wesley Blanchard,german,2018
715,unconfirmed,Client,spain,Denise Andrews,german,2018
716,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
717,unconfirmed,Client,germany,Stephen Silva,german,2018
718,unconfirmed,Client,germany,Kristen Berry,spanish,2018
719,confirmed,Client,spain,Kristen Berry,spanish,2018
720,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
721,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
722,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
723,unconfirmed,Client,spain,Dennis David,french,2018
724,confirmed,Client,italy,Dennis David,french,2018
725,unconfirmed,Business,germany,Karen Harrington,german,2018
726,unconfirmed,Client,france,Tammie Friedman,french,2018
727,unconfirmed,Business,germany,Kristen Berry,spanish,2018
728,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
729,unconfirmed,Client,germany,Karen Harrington,german,2018
730,confirmed,Business,france,Zachary Henry,german,2018
731,unconfirmed,Client,france,Wesley Blanchard,german,2018
732,unconfirmed,Client,france,Jerry Rivera,spanish,2018
733,unconfirmed,Client,germany,Kristen Berry,spanish,2018
734,unconfirmed,Client,germany,James Rivera,spanish,2018
735,confirmed,Client,france,Mr. Timothy Hall,italan,2018
736,unconfirmed,Business,germany,Stephen Silva,german,2018
737,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
738,unconfirmed,Client,italy,Dennis David,french,2018
739,unconfirmed,Business,france,Dennis David,french,2018
740,confirmed,Business,germany,Tiffany Jones,spanish,2018
741,unconfirmed,Business,spain,Karen Harrington,german,2018
742,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
743,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
744,unconfirmed,Client,spain,James Rivera,spanish,2018
745,confirmed,Client,germany,Tristan Diaz,spanish,2018
746,confirmed,Business,germany,Mr. Timothy Hall,italan,2018
747,unconfirmed,Client,france,Tiffany Jones,spanish,2018
748,unconfirmed,Client,italy,Kristen Berry,spanish,2018
749,unconfirmed,Client,germany,James Rivera,spanish,2018
750,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
751,confirmed,Client,germany,Tiffany Jones,spanish,2018
752,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
753,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
754,unconfirmed,Client,germany,Denise Andrews,german,2018
755,unconfirmed,Business,france,Dennis David,french,2018
756,confirmed,Client,spain,Mr. Timothy Hall,italan,2018
757,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
758,confirmed,Client,spain,Stephen Silva,german,2018
759,unconfirmed,Client,france,Wesley Blanchard,german,2018
760,confirmed,Client,italy,Kristen Berry,spanish,2018
761,unconfirmed,Client,germany,Wesley Blanchard,german,2018
762,unconfirmed,Client,spain,Zachary Henry,german,2018
763,unconfirmed,Business,spain,Tiffany Jones,spanish,2018
764,confirmed,Client,italy,James Rivera,spanish,2018
765,unconfirmed,Business,germany,James Rivera,spanish,2018
766,unconfirmed,Client,germany,Dennis David,french,2018
767,confirmed,Business,spain,Wesley Blanchard,german,2018
768,unconfirmed,Business,germany,Stephen Silva,german,2018
769,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
770,unconfirmed,Client,france,Tiffany Jones,spanish,2018
771,unconfirmed,Client,france,Stephen Silva,german,2018
772,confirmed,Business,germany,Dennis David,french,2018
773,confirmed,Client,italy,Denise Andrews,german,2018
774,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
775,unconfirmed,Client,france,Tammie Friedman,french,2018
776,confirmed,Business,germany,Denise Andrews,german,2018
777,confirmed,Business,italy,Denise Andrews,german,2018
778,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
779,unconfirmed,Client,germany,Zachary Henry,german,2018
780,confirmed,Business,spain,Tiffany Jones,spanish,2018
781,confirmed,Business,germany,Stephen Silva,german,2018
782,confirmed,Client,spain,Mr. Timothy Hall,italan,2018
783,unconfirmed,Business,italy,Karen Harrington,german,2018
784,confirmed,Business,germany,Jerry Rivera,spanish,2018
785,confirmed,Business,france,Dennis David,french,2018
786,unconfirmed,Client,germany,Wesley Blanchard,german,2018
787,unconfirmed,Business,france,Mr. Timothy Hall,italan,2018
788,unconfirmed,Business,italy,Zachary Henry,german,2018
789,unconfirmed,Client,germany,Kristen Berry,spanish,2018
790,unconfirmed,Client,germany,Tammie Friedman,french,2018
791,confirmed,Client,germany,Karen Harrington,german,2018
792,confirmed,Business,germany,Kristen Berry,spanish,2018
793,confirmed,Client,spain,James Rivera,spanish,2018
794,unconfirmed,Client,france,Zachary Henry,german,2018
795,confirmed,Business,italy,Mr. Timothy Hall,italan,2018
796,confirmed,Client,italy,Mr. Timothy Hall,italan,2018
797,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
798,unconfirmed,Business,italy,Mr. Timothy Hall,italan,2018
799,confirmed,Client,germany,Tristan Diaz,spanish,2018
800,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
801,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
802,confirmed,Client,spain,Tiffany Jones,spanish,2018
803,unconfirmed,Business,france,Karen Harrington,german,2018
804,unconfirmed,Client,germany,Stephen Silva,german,2018
805,unconfirmed,Business,germany,Wesley Blanchard,german,2018
806,unconfirmed,Client,spain,Karen Harrington,german,2018
807,unconfirmed,Business,germany,Stephen Silva,german,2018
808,confirmed,Client,france,Kenneth Lee,italan,2018
809,unconfirmed,Business,spain,Mr. Timothy Hall,italan,2018
810,unconfirmed,Client,germany,Wesley Blanchard,german,2018
811,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
812,unconfirmed,Client,germany,Mr. Timothy Hall,italan,2018
813,confirmed,Client,germany,James Rivera,spanish,2018
814,unconfirmed,Client,germany,Wesley Blanchard,german,2018
815,confirmed,Client,spain,Kenneth Lee,italan,2018
816,unconfirmed,Business,france,James Rivera,spanish,2018
817,confirmed,Business,italy,Dennis David,french,2018
818,unconfirmed,Business,italy,James Rivera,spanish,2018
819,unconfirmed,Client,germany,Tiffany Jones,spanish,2018
820,unconfirmed,Client,spain,Karen Harrington,german,2018
821,unconfirmed,Client,italy,Dennis David,french,2018
822,confirmed,Client,italy,Dennis David,french,2018
823,unconfirmed,Client,france,Karen Harrington,german,2018
824,confirmed,Client,spain,Tammie Friedman,french,2018
825,unconfirmed,Client,italy,James Rivera,spanish,2018
826,unconfirmed,Client,germany,Stephen Silva,german,2018
827,unconfirmed,Business,germany,Stephen Silva,german,2018
828,unconfirmed,Client,spain,Zachary Henry,german,2018
829,unconfirmed,Client,france,Tammie Friedman,french,2018
830,confirmed,Client,germany,Tiffany Jones,spanish,2018
831,unconfirmed,Client,germany,Kristen Berry,spanish,2018
832,confirmed,Business,germany,James Rivera,spanish,2018
833,unconfirmed,Client,italy,Jerry Rivera,spanish,2018
834,confirmed,Business,germany,Tammie Friedman,french,2018
835,confirmed,Client,spain,Kristen Berry,spanish,2018
836,unconfirmed,Client,france,Tiffany Jones,spanish,2018
837,unconfirmed,Client,germany,Wesley Blanchard,german,2018
838,unconfirmed,Client,germany,Stephen Silva,german,2018
839,confirmed,Client,italy,Mr. Timothy Hall,italan,2018
840,unconfirmed,Client,germany,Zachary Henry,german,2018
841,unconfirmed,Client,spain,Dennis David,french,2018
842,confirmed,Business,spain,Denise Andrews,german,2018
843,unconfirmed,Client,italy,Tiffany Jones,spanish,2018
844,unconfirmed,Client,france,Karen Harrington,german,2018
845,confirmed,Client,germany,Stephen Silva,german,2018
846,unconfirmed,Business,france,James Rivera,spanish,2018
847,unconfirmed,Client,france,Dennis David,french,2018
848,confirmed,Client,spain,Karen Harrington,german,2018
849,confirmed,Client,germany,Dennis David,french,2018
850,unconfirmed,Client,france,Zachary Henry,german,2018
851,confirmed,Business,italy,Jerry Rivera,spanish,2018
852,confirmed,Client,spain,Mr. Timothy Hall,italan,2018
853,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
854,unconfirmed,Client,spain,Zachary Henry,german,2018
855,unconfirmed,Business,italy,Denise Andrews,german,2018
856,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
857,confirmed,Client,germany,Kenneth Lee,italan,2018
858,unconfirmed,Client,spain,Stephen Silva,german,2018
859,confirmed,Business,germany,Kristen Berry,spanish,2018
860,unconfirmed,Client,spain,Tristan Diaz,spanish,2018
861,unconfirmed,Client,france,Tiffany Jones,spanish,2018
862,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
863,unconfirmed,Client,france,Dennis David,french,2018
864,unconfirmed,Business,spain,Kenneth Lee,italan,2018
865,unconfirmed,Client,france,James Rivera,spanish,2018
866,unconfirmed,Client,germany,Dennis David,french,2018
867,confirmed,Business,spain,Karen Harrington,german,2018
868,unconfirmed,Client,italy,James Rivera,spanish,2018
869,confirmed,Business,spain,Mr. Timothy Hall,italan,2018
870,unconfirmed,Business,france,Kristen Berry,spanish,2018
871,unconfirmed,Business,italy,Denise Andrews,german,2018
872,unconfirmed,Client,germany,Wesley Blanchard,german,2018
873,confirmed,Client,spain,Jerry Rivera,spanish,2018
874,unconfirmed,Client,spain,Kristen Berry,spanish,2018
875,unconfirmed,Client,france,Stephen Silva,german,2018
876,unconfirmed,Client,spain,Dennis David,french,2018
877,confirmed,Client,italy,Kristen Berry,spanish,2018
878,unconfirmed,Client,france,Zachary Henry,german,2018
879,confirmed,Client,france,Karen Harrington,german,2018
880,confirmed,Business,spain,Stephen Silva,german,2018
881,confirmed,Business,germany,Tristan Diaz,spanish,2018
882,unconfirmed,Client,france,Tiffany Jones,spanish,2018
883,confirmed,Business,france,Zachary Henry,german,2018
884,unconfirmed,Client,spain,James Rivera,spanish,2018
885,unconfirmed,Client,spain,Wesley Blanchard,german,2018
886,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
887,unconfirmed,Client,germany,Dennis David,french,2018
888,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
889,unconfirmed,Client,italy,Tammie Friedman,french,2018
890,unconfirmed,Business,spain,James Rivera,spanish,2018
891,confirmed,Business,spain,Kristen Berry,spanish,2018
892,confirmed,Client,spain,Tammie Friedman,french,2018
893,unconfirmed,Client,france,James Rivera,spanish,2018
894,unconfirmed,Client,france,Stephen Silva,german,2018
895,unconfirmed,Business,germany,Kristen Berry,spanish,2018
896,unconfirmed,Client,italy,Zachary Henry,german,2018
897,confirmed,Client,germany,Tristan Diaz,spanish,2018
898,unconfirmed,Client,france,Mr. Timothy Hall,italan,2018
899,unconfirmed,Client,france,Denise Andrews,german,2018
900,unconfirmed,Client,france,Tiffany Jones,spanish,2018
901,unconfirmed,Business,spain,Denise Andrews,german,2018
902,confirmed,Client,italy,Kenneth Lee,italan,2018
903,unconfirmed,Business,france,Karen Harrington,german,2018
904,unconfirmed,Business,germany,Dennis David,french,2018
905,confirmed,Client,germany,Tristan Diaz,spanish,2018
906,confirmed,Client,italy,Tammie Friedman,french,2018
907,confirmed,Client,spain,Tristan Diaz,spanish,2018
908,unconfirmed,Client,spain,Stephen Silva,german,2018
909,unconfirmed,Client,spain,Jerry Rivera,spanish,2018
910,confirmed,Client,spain,Tristan Diaz,spanish,2018
911,confirmed,Business,spain,Kenneth Lee,italan,2018
912,confirmed,Business,italy,James Rivera,spanish,2018
913,unconfirmed,Business,italy,Denise Andrews,german,2018
914,confirmed,Client,spain,Kenneth Lee,italan,2018
915,confirmed,Business,spain,Kristen Berry,spanish,2018
916,unconfirmed,Client,italy,Dennis David,french,2018
917,confirmed,Client,spain,Stephen Silva,german,2018
918,confirmed,Client,spain,Tammie Friedman,french,2018
919,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
920,unconfirmed,Client,italy,Mr. Timothy Hall,italan,2018
921,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
922,unconfirmed,Client,france,Jerry Rivera,spanish,2018
923,confirmed,Client,italy,Tiffany Jones,spanish,2018
924,confirmed,Client,italy,Tristan Diaz,spanish,2018
925,unconfirmed,Business,spain,Tammie Friedman,french,2018
926,confirmed,Business,germany,Wesley Blanchard,german,2018
927,unconfirmed,Business,spain,Jerry Rivera,spanish,2018
928,unconfirmed,Client,france,Denise Andrews,german,2018
929,unconfirmed,Client,germany,Jerry Rivera,spanish,2018
930,unconfirmed,Client,germany,Wesley Blanchard,german,2018
931,unconfirmed,Business,spain,Tammie Friedman,french,2018
932,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
933,unconfirmed,Business,spain,Tristan Diaz,spanish,2018
934,confirmed,Business,spain,Zachary Henry,german,2018
935,unconfirmed,Business,france,Tristan Diaz,spanish,2018
936,unconfirmed,Client,france,Tiffany Jones,spanish,2018
937,confirmed,Business,italy,Tiffany Jones,spanish,2018
938,unconfirmed,Client,italy,Tristan Diaz,spanish,2018
939,confirmed,Client,italy,Wesley Blanchard,german,2018
940,confirmed,Client,italy,Tiffany Jones,spanish,2018
941,unconfirmed,Client,france,Kristen Berry,spanish,2018
942,confirmed,Client,germany,Jerry Rivera,spanish,2018
943,unconfirmed,Client,spain,Stephen Silva,german,2018
944,unconfirmed,Client,spain,Zachary Henry,german,2018
945,unconfirmed,Client,france,Tammie Friedman,french,2018
946,unconfirmed,Client,germany,Wesley Blanchard,german,2018
947,unconfirmed,Business,france,Tristan Diaz,spanish,2018
948,unconfirmed,Client,italy,Denise Andrews,german,2018
949,unconfirmed,Business,france,Tammie Friedman,french,2018
950,confirmed,Business,germany,Jerry Rivera,spanish,2018
951,unconfirmed,Client,france,Tristan Diaz,spanish,2018
952,unconfirmed,Client,spain,James Rivera,spanish,2018
953,unconfirmed,Client,france,James Rivera,spanish,2018
954,confirmed,Client,spain,Jerry Rivera,spanish,2018
955,unconfirmed,Business,italy,James Rivera,spanish,2018
956,unconfirmed,Client,france,James Rivera,spanish,2018
957,unconfirmed,Business,spain,Zachary Henry,german,2018
958,unconfirmed,Client,germany,Kenneth Lee,italan,2018
959,unconfirmed,Business,germany,Dennis David,french,2018
960,unconfirmed,Client,italy,Wesley Blanchard,german,2018
961,confirmed,Client,france,Mr. Timothy Hall,italan,2018
962,confirmed,Business,germany,Wesley Blanchard,german,2018
963,unconfirmed,Client,spain,Tiffany Jones,spanish,2018
964,confirmed,Client,germany,Kenneth Lee,italan,2018
965,confirmed,Business,germany,Tiffany Jones,spanish,2018
966,unconfirmed,Client,germany,Kenneth Lee,italan,2018
967,unconfirmed,Client,italy,Tammie Friedman,french,2018
968,unconfirmed,Business,germany,Denise Andrews,german,2018
969,confirmed,Client,france,Mr. Timothy Hall,italan,2018
970,unconfirmed,Client,france,Jerry Rivera,spanish,2018
971,confirmed,Business,italy,Tristan Diaz,spanish,2018
972,unconfirmed,Client,france,Kristen Berry,spanish,2018
973,confirmed,Client,italy,Tammie Friedman,french,2018
974,unconfirmed,Client,spain,Kristen Berry,spanish,2018
975,unconfirmed,Client,spain,Mr. Timothy Hall,italan,2018
976,unconfirmed,Client,italy,Denise Andrews,german,2018
977,unconfirmed,Client,italy,Zachary Henry,german,2018
